Gene_Symbol,Score
CTSL,0.7627516
DNTT,0.76273066
BNC2,0.7626171
AVPI1,0.76251644
SKAP1,0.7625008
MYOM2,0.7624826
LINC00998,0.7624545
ATF5,0.76236856
DSP,0.7623536
MFSD8,0.7623345
RALGPS2,0.76230705
CTSD,0.7622582
CYP4F3,0.76223934
CTNND1,0.7622228
RUNX3,0.7620746
PGD,0.7617825
MYO3A,0.76174796
MIR22HG,0.7616841
ERO1A,0.7616215
CD24,0.7615891
SDCBP2,0.76156354
BTNL9,0.7615568
ANGPTL1,0.7613119
C5AR2,0.76127
OCSTAMP,0.76124924
EMID1,0.7612206
CTSB,0.761062
RAB7A,0.7609998
PAX5,0.7609881
SLC25A4,0.7609796
SOX9,0.7608371
PLEK,0.7607907
PLBD1,0.7606402
BTNL3,0.76059824
PHB,0.7605563
C1ORF54,0.7604275
MSRB3,0.7604036
LEPROT,0.7602641
FUOM,0.7602064
HFE,0.7601633
PRSS1,0.76006633
P4HA2,0.75987744
NMNAT2,0.7597989
B4GALNT1,0.7597469
SWAP70,0.7597446
VDAC2,0.7596293
KLHDC8B,0.75939405
FTH1,0.75918496
TGFBR3,0.7591633
SMCO4,0.75916237
SPHK1,0.7587335
RHOJ,0.75868213
MYO7A,0.7582537
CD79A,0.7581767
NKG7,0.75806373
TIMP1,0.7579719
CACUL1,0.7579428
CHMP4C,0.75768566
SERINC3,0.757664
PLIN1,0.7575949
CYGB,0.75755227
C10ORF11,0.75751245
TSPAN4,0.7573987
SPN,0.7573393
RGSL1,0.7573373
PLA2G3,0.75698674
GNAT2,0.75694054
GNG13,0.7568974
LIF,0.75681627
FAM189A2,0.756726
DIO2,0.7563423
PPL,0.75603
RASSF5,0.7560256
GBP5,0.7559603
TGFBI,0.75588727
GNA14,0.7558049
CALCB,0.7557209
IL23R,0.7555823
PPM1M,0.7554868
ATP6AP2,0.75539184
GYPB,0.755263
NREP,0.7552339
CCS,0.75521255
ARL4C,0.7551302
FMNL1,0.755083
DDX60,0.7545601
RGS7BP,0.75449437
GNAT1,0.7543883
STAB2,0.7543482
AWAT2,0.75426793
SIGLEC14,0.7542202
C15ORF48,0.754218
SOX18,0.7541318
KNDC1,0.7540866
ID3,0.7540175
SAMD9L,0.75397146
IFITM5,0.753899
FAM195A,0.75380117
ANKRD10,0.75375605
CLEC4M,0.7537304
ABI3,0.75372523
MDH1,0.7537048
SULT1C4,0.75349385
IFIT2,0.7534033
ARHGAP30,0.753394
HBZ,0.75328624
FGL1,0.7531722
TOR1A,0.7531616
MYO1F,0.7531599
CNTF,0.7531322
HCST,0.75313216
IVL,0.753065
NARS,0.75305986
MAF,0.7530323
PLEKHB2,0.7529322
ANXA7,0.7529255
SPATS2L,0.7528701
PLOD2,0.7526819
TMEM204,0.7526753
GPX1,0.752462
CLEC4G,0.7524351
VPS26A,0.75225407
OSM,0.7521478
GP9,0.75207126
LIMD2,0.7519638
PIP5K1B,0.7518334
PLA2G1B,0.75176513
IRAK4,0.75176215
PSTPIP1,0.75168055
ATP6V1F,0.7515613
TAP1,0.7515301
CD180,0.7515065
ATP6AP1L,0.75147426
CFL2,0.7513758
RNF144B,0.7513319
RGS4,0.7512852
ERVFRD-1,0.7512331
RP11-670E13.6,0.75109076
BAIAP2L2,0.751063
GNA15,0.751032
PPT2,0.75098264
THBD,0.7509235
SH2D1A,0.7508401
PLXNA2,0.750713
PPBP,0.7506686
AIDA,0.75062954
SLC4A1,0.7505409
PLEKHO2,0.75053847
VNN1,0.7504429
RUNX1T1,0.7503915
AGRN,0.7502545
NTF3,0.75004435
