Bootstrap_Replicate,ctMV_GCN_AUPRC,Degree_Logistic_AUPRC,ctMV_GCN_minus_Degree
223,0.634661887095874,0.6221524651695711,0.012509421926302888
224,0.6558231376353821,0.6263842438771561,0.02943889375822606
225,0.6561931724614721,0.6214880717609145,0.034705100700557656
226,0.6538704112202439,0.6218855200190212,0.03198489120122272
227,0.651057365245323,0.6212771028860994,0.029780262359223597
228,0.6267381476968542,0.6058733243831123,0.020864823313741954
229,0.6363904903330799,0.6079763237799337,0.028414166553146214
230,0.6584993796063593,0.6248927300679699,0.03360664953838943
231,0.6515016620431208,0.6349632815156706,0.01653838052745016
232,0.6434204206852528,0.6453985840986594,-0.0019781634134065085
233,0.6372781680067349,0.6178003047622214,0.019477863244513505
234,0.6452719974604807,0.6365819390454269,0.00869005841505377
235,0.6488347094259482,0.6188419959988464,0.029992713427101858
236,0.6419800355568124,0.6263383863080798,0.01564164924873257
237,0.6504788281987128,0.6141659991409049,0.03631282905780797
238,0.6521389224365359,0.6311307059420155,0.02100821649452045
239,0.67641978164948,0.6183788887329515,0.058040892916528475
240,0.6566852343960456,0.6274702797192203,0.029214954676825333
241,0.6455019793324263,0.6401164983050083,0.005385481027417982
242,0.6455933497285232,0.6165903604544284,0.029002989274094837
243,0.6444170523025575,0.6248440832706711,0.019572969031886434
244,0.6491586490197641,0.6302003585638752,0.018958290455888815
245,0.6537919204428011,0.6275328194500401,0.026259100992760964
246,0.639710855045638,0.6245242844650538,0.015186570580584147
247,0.6470373358280358,0.6369023022124933,0.010135033615542466
248,0.6540821082498458,0.6340595459595263,0.020022562290319512
249,0.6456325939738704,0.6306277664173068,0.015004827556563627
250,0.6525319679812261,0.6231522784640823,0.02937968951714387
251,0.6343517461564362,0.6301253348609067,0.004226411295529475
252,0.6462893685288879,0.6228785469014437,0.023410821627444123
253,0.6541885579398784,0.6397040668170733,0.014484491122805143
254,0.6330464353275495,0.6285853403954959,0.0044610949320536
255,0.6414666821620106,0.6287219454790525,0.012744736682958169
256,0.6477281238911624,0.6192663929514638,0.028461730939698615
257,0.6569548435179361,0.6286444201284197,0.028310423389516393
258,0.6486868713192564,0.6093034688266806,0.03938340249257577
259,0.6525180857992826,0.6301426655959534,0.022375420203329166
260,0.6333644212696391,0.621022608507482,0.012341812762157067
261,0.6748571257866387,0.6439727797024398,0.030884346084198877
262,0.6476898024960208,0.6352122789946516,0.012477523501369214
263,0.6604300704005692,0.628081841206635,0.03234822919393421
264,0.6293581198843354,0.633400291931888,-0.004042172047552528
265,0.6283419354807197,0.62845702644669,-0.00011509096597028812
266,0.6636724027248833,0.6234323185102111,0.04024008421467218
267,0.641452564040227,0.6479810446195154,-0.006528480579288454
268,0.6333344215914382,0.6237552810675845,0.009579140523853669
269,0.6521641061015294,0.6263332085770094,0.025830897524520058
270,0.6510536202909893,0.6313126481358209,0.019740972155168457
271,0.6474792797088339,0.6184063094314401,0.02907297027739375
272,0.6408859228283734,0.6272033704881722,0.013682552340201215
273,0.6551121640309828,0.6313312713501839,0.02378089268079897
274,0.6534370608369308,0.6290254404959862,0.024411620340944573
275,0.6497314900921233,0.6221047407754584,0.027626749316664867
276,0.6474275760153398,0.6226272770527705,0.0248002989625693
277,0.6798557382329333,0.6386834641679399,0.041172274064993464
278,0.6432703859043035,0.6176074471559309,0.025662938748372666
279,0.6701403293270177,0.6308493273290506,0.03929100199796709
280,0.6317846992708794,0.6222688559901256,0.009515843280753833
281,0.6454592738969622,0.6194514521106556,0.026007821786306673
282,0.6441654321773682,0.6272385296627759,0.01692690251459228
283,0.648255066698478,0.6321853411225856,0.01606972557589237
284,0.662750208893177,0.6187754854120414,0.043974723481135625
285,0.6496394833185154,0.6384841834662397,0.011155299852275702
286,0.6397796146039898,0.6412741693973514,-0.00149455479336158
287,0.6367118424028532,0.6334002226617189,0.003311619741134253
288,0.6428358677941679,0.6184150188282774,0.024420848965890474
289,0.6407940778090538,0.6226929653918253,0.01810111241722856
290,0.6587239507577843,0.6326346900482663,0.026089260709518003
291,0.6494239830399697,0.6348112511695806,0.01461273187038914
292,0.6437222009593938,0.6359909957927705,0.0077312051666232895
293,0.6415430762841067,0.6249508405926535,0.016592235691453183
294,0.6602742706589467,0.6303523975237866,0.02992187313516015
295,0.6501671753367124,0.6321925200935326,0.01797465524317987
296,0.6391112873696806,0.6321384026441501,0.0069728847255304816
297,0.6459132536447862,0.653637768327439,-0.007724514682652783
298,0.6423011140186088,0.618626607728023,0.02367450629058576
299,0.6468218282514705,0.6277445310586728,0.019077297192797715
300,0.653734039818175,0.6402116339998422,0.013522405818332861
301,0.6391400382176636,0.6271003553632769,0.012039682854386724
302,0.6632503725599527,0.6380113437739399,0.025239028786012807
303,0.6486434372738382,0.6234653388622236,0.02517809841161467
304,0.6658020731810524,0.6335898122886586,0.03221226089239382
305,0.6614484040962593,0.6248814132505621,0.036566990845697145
