symbol,globalScore,maxClinicalTrialPhase,chembl
BIRC6,0.288592322773154,,
ESR1,0.288589079027257,1.0,
IKBKB,0.2885401429303662,0.75,
CYLD,0.2884032944976089,,
DDX6,0.2883595485642012,,
DDB2,0.2883123244716582,,
RANBP2,0.2881057190667824,,
HLF,0.2879032887230074,,
JUN,0.2876703671097572,,
SIX1,0.287590379309986,,
IDH1,0.287530201074242,1.0,
NBN,0.2873019798405211,,
ETV4,0.2871615640045563,,
GATA2,0.2870555871974692,,
SND1,0.2870294717316193,,
CD79A,0.286764012011748,,
LATS1,0.2864874897464972,,
KDM5A,0.2863958130916302,,
NR4A3,0.2862496507581211,,
MAFB,0.2861241037487125,,
SOCS1,0.2859827358751257,,
BCL9L,0.2858700175986168,,
IKZF1,0.2857419728506556,,
MLF1,0.2855184034313126,,
HEY1,0.2852985139773429,,
PREX2,0.285170177079343,,
NSD2,0.2851670627358743,,
FADS2,0.2851186816707856,,
SDHAF2,0.2848485399446966,,
ACKR3,0.284821273812488,,
TET1,0.2847450392573015,,
CDK6,0.2846914325638771,1.0,
FOXO1,0.2846511459121017,,
SALL4,0.2846105239450457,,
STAT6,0.2845099799234454,,
TLX1,0.2844966691247155,,
RUNX1,0.2842242153341506,,
WWTR1,0.2839238356620699,,
BIRC3,0.2838589380347097,0.5,
FUBP1,0.2836846200551166,,
CALR,0.2836538807493604,,
ABI1,0.2836525384705086,,
XPA,0.2835656358741223,,
HOXC13,0.2835106063975168,,
BCL6,0.2834933617528437,,
RSPO3,0.2833263220338119,0.75,
FAS,0.2833136093311171,,
TRIM27,0.283305560870577,,
RECQL4,0.2832044785338823,,
GATA3,0.2831153376338477,,
MAX,0.2831001192488257,,
ACVR2A,0.2828671812793036,1.0,
STAT5B,0.2828568790618146,,
PRKN,0.2827690896858927,,
BAX,0.2827688069789786,,
MAP2K4,0.2826859968067072,,
FLI1,0.282587983465678,,
SYK,0.2825211787351696,1.0,
FOXO3,0.2825038736988819,,
BCL11A,0.282446270889246,1.0,
VTI1A,0.282405663852137,,
LMO2,0.2821413629546984,,
VHL,0.2819294868088225,,
AXIN2,0.2819184846168306,,
DDIT3,0.281749603169051,,
GNAQ,0.2816991847570662,,
BCL9,0.2816532141177351,,
H3C2,0.2815093388644136,,
PDGFB,0.2813404704334288,0.75,
IDH2,0.2812392174757233,1.0,
TRIM33,0.2812150053372569,,
EWSR1,0.281106543916014,,
APOBEC3B,0.2810782843452205,,
SFPQ,0.2810372476932606,,
CIITA,0.2810271722799763,,
ERCC3,0.2809730845240445,,
FANCG,0.2809730845240445,,
CD79B,0.280927468497287,1.0,
RUNX1T1,0.2808998919600015,,
MYCL,0.2808563075560712,,
ETV5,0.2807410601139986,,
IL6ST,0.2806966657015493,1.0,
DDX10,0.2806651013118073,,
LCK,0.2806075566389684,1.0,
TBX3,0.2804719908779017,,
BTG1,0.2804341139026293,,
MUC16,0.2803644781036598,1.0,
TPM3,0.2803333434277233,,
CTCF,0.2803092516478612,,
STRN,0.2801306477775049,,
ARHGAP35,0.2801109337092358,,
RPL22,0.2800370784353521,1.0,
HRAS,0.2799361410514961,0.5,
PAX5,0.2799054093882887,,
MYOD1,0.2798181474781548,,
GRIN2A,0.2798146570017494,1.0,
LMO1,0.2797719499963192,,
B2M,0.2797712846475911,,
DDX5,0.2797695312423999,,
PIM1,0.2797408091805369,0.25,
PRKACA,0.2796638992193593,0.25,
PMS2,0.2796072784961572,,
CREB3L1,0.2796029968585652,,
MUTYH,0.2795589282745218,,
TNFRSF14,0.2795545819982041,,
RXRA,0.279535829533604,1.0,
PML,0.2795302826930979,,
ZFHX3,0.2794947651053057,,
IKZF3,0.2794492349204299,,
SDHB,0.2793664387668735,,
RMI2,0.279125185250621,,
REL,0.279125185250621,,
FOXO4,0.279125185250621,,
ATP2B3,0.2790327902869498,,
CNOT3,0.2790327902869498,,
RRAS2,0.2790327902869498,,
SH2B3,0.2790327902869498,,
SMARCE1,0.2790327902869498,,
RAD51C,0.2789968589121888,,
CDH11,0.2789865928051143,,
YWHAE,0.278944296443967,,
SMARCB1,0.2789352622697413,,
ATP1A1,0.2789235622293896,1.0,
PRDM1,0.2788941978414431,,
PAX3,0.2786632104322651,,
DNM2,0.2786356459347699,,
MRTFA,0.2785656824150567,,
MYD88,0.2785474600749993,,
CBFB,0.278339828059416,,
FCGR2B,0.278339828059416,0.75,
RAD51D,0.278339828059416,,
RAD50,0.2782936305775804,,
